plot	site	time	total_precipitation_hourly	u_component_of_wind_10m	v_component_of_wind_10m	ws
plot1	Nouragues	2001-01-18 00:00:00	4.470348358154297e-06	-1.085968017578125	-1.4011993408203125	1.7727622874818387
plot1	Nouragues	2001-01-18 01:00:00	1.880340278148651e-05	-1.091644287109375	-1.2801055908203125	1.6823666583797827
plot1	Nouragues	2001-01-18 02:00:00	1.307763159275055e-05	-0.9171905517578125	-1.288238525390625	1.5813908455958674
plot1	Nouragues	2001-01-18 03:00:00	4.284083843231201e-07	-0.784698486328125	-1.2779083251953125	1.4996004141267563
plot1	Nouragues	2001-01-18 04:00:00	5.066394805908203e-07	-0.7642059326171875	-1.175811767578125	1.4023352025184634
plot1	Nouragues	2001-01-18 05:00:00	3.937631845474243e-06	-0.74560546875	-0.9864044189453125	1.2364955288009523
plot1	Nouragues	2001-01-18 06:00:00	1.5422701835632324e-05	-0.6718597412109375	-0.8097076416015625	1.052151118769539
plot1	Nouragues	2001-01-18 07:00:00	1.6376376152038574e-05	-0.6602783203125	-1.1952056884765625	1.3654611301832908
plot1	Nouragues	2001-01-18 08:00:00	7.12275505065918e-06	-0.351806640625	-1.1980743408203125	1.248659296413507
plot1	Nouragues	2001-01-18 09:00:00	4.2125581671825785e-06	-0.1755218505859375	-1.1950225830078125	1.2078439029658494
plot1	Nouragues	2001-01-18 10:00:00	4.380941390991211e-06	-0.2371978759765625	-1.1703643798828125	1.1941589567835067
plot1	Nouragues	2001-01-18 11:00:00	2.368539571762085e-05	-0.42108154296875	-0.9969482421875	1.0822270849640059
plot1	Nouragues	2001-01-18 12:00:00	0.00013946741819381714	-1.536529541015625	-2.0864410400390625	2.591169474189786
plot1	Nouragues	2001-01-18 13:00:00	0.0001579374074935913	-1.7288360595703125	-2.3385009765625	2.908171407990659
plot1	Nouragues	2001-01-18 14:00:00	0.00023978948593139648	-1.644012451171875	-2.1019134521484375	2.668485919005517
plot1	Nouragues	2001-01-18 15:00:00	0.0003981590270996094	-1.78173828125	-2.129669189453125	2.776703469832102
plot1	Nouragues	2001-01-18 16:00:00	9.849667549133301e-05	-1.62005615234375	-1.9775238037109375	2.5564002681485953
plot1	Nouragues	2001-01-18 17:00:00	7.674098014831543e-05	-1.329071044921875	-2.2557830810546875	2.618203038578617
plot1	Nouragues	2001-01-18 18:00:00	3.6016106605529785e-05	-1.377349853515625	-2.518310546875	2.8703624561161916
plot1	Nouragues	2001-01-18 19:00:00	0.0010580867528915405	-1.4308929443359375	-1.276092529296875	1.9172550068985774
plot1	Nouragues	2001-01-18 20:00:00	0.0012477189302444458	-1.4489593505859375	-0.9265899658203125	1.719898882030368
plot1	Nouragues	2001-01-18 21:00:00	0.0008036494255065918	-1.3228302001953125	-1.0035533905029297	1.6604213760785833
plot1	Nouragues	2001-01-18 22:00:00	0.0005214959383010864	-1.3920745849609375	-1.218313217163086	1.8499077666760673
plot1	Nouragues	2001-01-18 23:00:00	0.0007140040397644043	-1.1699371337890625	-1.1360149383544922	1.630730767840948
